"№";"ID";"Угроза";"Атака / способ";"Элемент техпаспорта БАС";"Информационный поток";"Актуальность"
"1";"УБИ.1.1.1";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет эксплуатации уязвимостей";"СП.1 Эксплуатация уязвимостей; СП.1.1 эксплуатация известных уязвимостей; СП.1.2 эксплуатация уязвимостей нулевого дня";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"Оператор -> QGroundControl; QGroundControl -> MavlinkGateway -> PX4 SITL; PX4 SITL -> MavlinkGateway -> QGroundControl";"Условно актуальна"
"2";"УБИ.1.1.2";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет использования недостатков конфигурации";"СП.2 Использование недостатков конфигурации; СП.2.1 неполнота проверки входных данных; СП.2.2 управление учетными данными";"АРМ оператора; QGroundControl AppImage; наземная станция оператора";"Оператор -> QGroundControl; QGroundControl -> MavlinkGateway -> PX4 SITL; PX4 SITL -> StateGuard; AuditLogger";"Условно актуальна"
"3";"УБИ.1.1.10";"Угроза утечки информации, обрабатываемой на автоматизированном рабочем месте, за счет атаки типа человек посередине";"СП.10 Атака типа человек посередине; СП.10.7 атаки на уровне каналов и сети, приводящие к изменению маршрутов";"Наземная станция; QGroundControl AppImage; канал связи MAVLink/UDP";"QGroundControl -> MavlinkGateway -> PX4 SITL; PX4 SITL -> MavlinkGateway -> QGroundControl";"Условно актуальна"
"4";"УБИ.1.2.10";"Угроза утечки информации, обрабатываемой сервером, за счет атаки типа человек посередине";"СП.10 Атака типа человек посередине; СП.10.7 атаки на уровне каналов и сети, приводящие к изменению маршрутов";"SecurityMonitorApp; TelemetryCollector; StateGuard; ThreatDetector; AuditLogger";"PX4 SITL -> TelemetryCollector; PX4 SITL -> StateGuard; MavlinkGateway -> ThreatDetector; ThreatDetector -> AuditLogger";"Условно актуальна"
"5";"УБИ.1.4.1";"Угроза утечки информации, хранящейся на устройстве хранения данных, за счет эксплуатации уязвимостей";"СП.1 Эксплуатация уязвимостей; СП.1.1 эксплуатация известных уязвимостей; СП.1.2 эксплуатация уязвимостей нулевого дня";"sim_stack.json; gz_x500_model_spec.json; telemetry.jsonl; protocol_events.jsonl; security_events.jsonl";"PX4 SITL -> StateGuard; TelemetryCollector -> AuditLogger; MavlinkGateway -> AuditLogger";"Условно актуальна"
"6";"УБИ.1.4.7";"Угроза утечки информации, хранящейся на устройстве хранения данных, за счет прослушивания захвата сетевого трафика";"СП.7 Прослушивание захват сетевого трафика; СП.7.1 прослушивание интерфейсов сети; СП.7.2 подключение устройства перехвата в разрыв канала передачи данных";"Хранилище данных; JSONL-журналы; канал связи MAVLink/UDP";"MavlinkGateway -> AuditLogger; AuditLogger -> telemetry.jsonl / protocol_events.jsonl / security_events.jsonl";"Условно актуальна"
"7";"УБИ.8.12.7";"Угроза нарушения функционирования работоспособности физических линий связи за счет прослушивания захвата сетевого трафика";"СП.7 Прослушивание захват сетевого трафика; СП.7.3 атаки на уровне каналов и сети, приводящие к изменению маршрутов; СП.7.4 перенаправление трафика";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"QGroundControl -> MavlinkGateway -> PX4 SITL; API-клиенты -> MavlinkGateway -> PX4 SITL; PX4 SITL -> MavlinkGateway -> QGroundControl";"Условно актуальна"
"8";"УБИ.8.12.16";"Угроза нарушения функционирования работоспособности физических линий связи за счет нарушения изоляции";"СП.16 Нарушение изоляции; СП.16.3 нарушение сетевой изоляции";"Канал связи MAVLink/UDP; GCS 14552/14550; API 14541/14540";"QGroundControl -> MavlinkGateway -> PX4 SITL; API-клиенты -> MavlinkGateway -> PX4 SITL; MavlinkGateway -> LinkMetrics / ThreatDetector";"Условно актуальна"
